,AnimalClass,syptom_description,Dangerous
0,собака,"Высокая температура, Диарея, Рвота, Потеря веса, Обезвоживание",1
1,собака,"Высокая температура, Диарея, Кашель, Усталость, Боли",1
2,собака,"Высокая температура, Диарея, Кашель, Рвота, Анорексия",1
3,собака,"Высокая температура, Трудности дыхание, Кашель, Летаргия, Чихание",1
4,собака,"Высокая температура, Диарея, Кашель, Летаргия, Синий глаз",1
5,собака,"Высокая температура, Респираторный дистресс, Припадки, Гиперестезия, Внезапная смерть",1
6,собака,"Язвы, Диарея, Плохой аппетит, Тарри -стул, Увеличенные лимфатические узлы",1
7,собака,"Отек лица, Кровавый слюни, Неловкий дыхание, Невозможно поесть, Утраченные зубы",1
8,собака,"Высокая температура, Трудности дыхание, Жажда и мочеиспускание, Потеря веса, Увеличенные лимфатические узлы или отек",1
9,собака,"Отек на ноге, Болезненный, Носовая выделение, Сломанные кости, Носовая выделение",1
10,собака,"Краткосрочная летаргия, Потеря аппетита, Слабость в задних ногах, Быстрая частота сердечных сокращений, Недельный пульс",1
11,собака,"Опухшие лимфатические узлы, Трудность ходьбы, Боль в спине, Летаргия, Вагинальный разряд",1
12,собака,"Высокая температура, Диарея, Боль в животе, Жесткость, Сильная слабость и депрессия",1
13,собака,"Высокая температура, Потеря аппетита, Уменьшить энергию, Хромота, Обухание суставов",1
14,собака,"Высокая температура, Хроническое воспаление глаз, Плохой аппетит, Летаргия, Неврологические отклонения",1
15,собака,"Высокая температура, Отек лица или ноги, Плохой аппетит, Депрессия, Боли",1
16,собака,"Диарея с слизью, Тенсмус, Водянистый стул, Метеоризм, Боли",1
17,собака,"Сильный кашель, Насморк, Чихание, Летаргия, Потеря аппетита",1
18,собака,"Высокая температура, Воспаленный глаз, Кашель, Депрессия, Хромающий",1
19,собака,"Высокая температура, Трудности дыхание, Кашель, Изменение глаз и кожи, Невозможно заниматься спортом",1
20,собака,"Высокая температура, Потеря аппетита, Кашель, Летаргия, Боль в суставах",1
21,собака,"Поражения в носовой полости, Поражения на носу, Нос кровотечение, Шумное дыхание, Поражения на носу",1
22,собака,"Выпадение волос, Перхоть, Затемненная кожа, Кора кожи, Изъязвленная кожа",1
23,собака,"Зеленовато-желтый носовой разряд, Отсутствие пигментации, Чихание, Летаргия, Боль на лице",1
24,собака,"Высокая температура, Диарея, Плохой аппетит, Потеря веса, Рвота",1
25,собака,"Желтуха, Пневмония , Поражение на коже, боль, Рвота",1
26,собака,"Плохое появление пальто, Диарея, Рвота, Потеря веса, Обезвоживание",1
27,собака,"Полив, Нет приложения, Рвота, Летаргия, Обезвоживание",1
28,собака,"Напряжение, Диарея, Рвота, Потеря веса, Слепота",1
29,собака,"Расстроен желудок, Диарея, Рвота, Мышечная боль, Мышечная жесткость",1
30,собака,"Расстроен желудок, Диарея, Кашель, Потеря веса, Анемия",1
31,собака,"Аллергическая реакция, Плохой аппетит, Кашель, Потеря веса, Расставленный грудь",1
32,собака,"Высокая температура, Анорексия, Потеря веса, Летаргия, Боль",1
33,собака,"Хромающий, Не бегите, чтобы прыгнуть, Припухлость, Недельные ноги, Боль на ноге",1
34,кот,"Высокая температура, Язва глаз, Скопление, Депрессия, Розовый глаз",1
35,кот,"Пневмония, Потеря аппетита, Сброс глаз, Хромота, Артрит",1
36,кот,"Высокая температура, Припадки, Гидрофобия, Челюсть сброшена, Застенчивость или агрессия",1
37,кот,"Кровавая моча, Трудности дыхание, Рвота, Потеря веса, Анорексия",1
38,кот,"Потеря еды, Трудность в дыхании, Припухлость, Хромота, Неврологические отклонения",1
39,кот,"Темное или черное лицо, Диарея, Рвота, Кровь на лицах, Боль",1
40,кот,"Желтуха, Трудность в дыхании, Припадки, Летаргия, Бледные десны",1
41,кот,"Аппетит варьируется, Диарея, Рвота, Потеря веса, Боль",1
42,кот,"Потеря еды, Нездорово, Летаргия, Потеря веса, Проблема кожи",1
43,кот,"Болезнь, Потеря аппетита, Рвота, Потеря веса, Повышенный рост или удар",1
44,кот,"Носовое кровотечение, Трудность жевания, Припухлость, Потеря веса, Анорексия",1
45,кот,"Язвы, Поражения, Spabs, Комочки, Шишки (черный, серый или красный)",1
46,кот,"Газ, Потеря аппетита, Кровь в табуретке, Рычание желудка, Черный табурет",1
47,кот,"Дрожащая голова, Царапает ухо, Черный на ухо, Плохой запах, Красное и воспалительное ухо",1
48,кот,"Атаки, Потеря аппетита, Кашель, Потеря веса, Периодическая рвота",1
49,кот,"Кровавый табурет, Диарея, Кашель, Потеря веса, Анемия",1
50,кот,"Носовая выделение, Носовые кровотечения, воспаленные ноздри, Чихание, Громкое дыхание",1
51,кот,"Полиурия, Потеря аппетита, Рвота, Потеря веса, Полидипсия",1
52,кот,"Чрезмерное мочеиспускание, Изменение в походке, Рвота, Потеря веса, Неспособность прыгать",1
53,кот,"Судорога, Потеря сознания, жевание, Дергается, Слюноотделение",1
54,кот,"Хрипил, Быстрое дыхание, Кашель, Глотание, Усилие дышать",1
55,кот,"Желтуха, НЕКОТОРЫ, Летаргия, Потеря веса, Анорексия",1
56,кот,"Повреждение на коже кошки, Перхоть в кошачьем пальто, Красные пятна, Выпадение волос, Проблема кожи",1
57,кот,"Летаргия, Диарея, Рвота, Разряд из глаз, Анорексия",1
58,кот,"Раздражение кожи, Царапание, Летаргия, Выпадение волос, Чрезмерный уход",1
59,кот,"Мышцы Floopy, Задержка речи, Интеллектуальная инвалидность, Проблема ходьбы, Движения глаз",1
60,кот,"Чувствительность к яркому свету, Выписка от пораженного глаза, Воспаление, Облаженная роговица, Потирая глаза",1
61,кот,"Высокая температура, Диарея, Рвота, Судороги, Обезвоживание",1
62,кот,"Нежность, Эритема, Припухлость, Царапать, Боль",1
63,кот,"Высокая температура, Диарея, Рвота, Слюноотделение, Уменьшить аппетит",1
64,кот,"Чешуйчатые пятна кожи, Больной, Spabs, Царапать, Выпадение волос",1
65,кот,"Жирный стул, Диарея, Рвота, Потеря веса, Боль",1
66,кот,"Тошнота, Потеря аппетита, Рвота, Твердый, Расставленный желудок",1
67,кот,"Высокая температура, Отек в зоне укуса, Летаргия, Хромать, Боль",1
68,кот,"Высокая температура, Потеря аппетита, Проблема с глазами, Болезнь печени, Неврологический",1
69,кот,"Высокая температура, Мягкое чихание, Кашель, Носовой, Глазное выделение",1
70,хомячок,"Чаще всего нет, Чихание, Носовая выделение, Одышка, Боль",1
71,хомячок,"Высокая температура, Диарея, Рвота, Кровь из уст, Шок",1
72,хомячок,"Дискомфорт, Диарея, Сухое или тусклые волосы, Измельчение зубов, Боль",1
73,хомячок,"Потеря аппетита, Припухлость, Носовая выделение, Слепота, Летаргия",1
74,хомячок,"Ринит, Пневмония , абсцесса, Кривошея, Сепсис",1
75,хомячок,"Высокая температура, Диарея, Энтерит, Потеря веса, Желудочные судороги",1
76,хомячок,"Немедленная смерть, Трудность в дыхании, Голубая окрашенная губа, Кровавые выписки, Неврологические отклонения",1
77,хомячок,"Высокая температура, Поражение оспы на коже, Кожная сыпь, Носовая выделение, Смертность варьируется",1
78,хомячок,"Красный на пострадавшем районе, Возбужденный рост, Бородный рост, Красная кожа, Поражения на ухе",1
79,хомячок,"Высокая температура, Озноб, Язва кожи, Истощение, Опухший и болезненный",1
80,хомячок,"Поливная диарея, Депрессия, Истощение, Рюшат, Летаргия",1
81,хомячок,"потеря веса, истощение, потеря аппетита, Слабость, диарея",1
82,птица,"потеря аппетита, диарея, опухший фиолетовый плетение, Опухший расческа, Хромота",1
83,птица,"потеря аппетита, диарея, рюшат перья, Потеря веса, Неспособность поглощать питательные вещества",1
84,птица,"Производство яиц уменьшается, Задержка роста, Слепота, Отличительные удары, Отек лица",1
85,птица,"потеря аппетита, жажда, рюшат перья, Закрытые глаза, Диарея",1
86,хомячок,"Высокая температура, ослабленные ноги, LOS способности ходить, Молочные железы, Заполненные жидкостью волдыри",1
87,хомячок,"Высокая температура, ослабленные ноги, LOS способности ходить, Потеря веса, Хромота",1
88,хомячок,"аборт в конце беременности, Усталость, слабые телята, Присоединяйтесь к болам, Отек внутренних органов",1
89,хомячок,"вздутый, красный цвет, Горячий вымен, Молоко выходит более водянистого, Молоко выходит более толстое",1
90,хомячок,"Высокая температура, Бедствие, Дрожь, Ошеломляющий, Судорога",1
91,хомячок,"Высокая температура, Животное становится хромым, Простата, Болезненное глотание, Хромота",1
92,хомячок,"Высокая температура, Трудность в дыхании, Дриблинг слюны, Неспособность кормления глобального, Влажный и болезненный",1
93,хомячок,"Жидкие фекалии на крови и мышцах, Внезапная смерть, Кровавая жидкость, Красная диарея, Феканист",1
94,хомячок,"Высокая температура, Пневмония , Стоять с падением головы, Потеря веса, Ненормальное поведение",1
95,хомячок,"Высокая температура, Слегка опухший, Поражение на коже, Млечный жесткий, Папулы появляются на сосках и вымене",1
96,хомячок,"Высокая температура, Тупой, Задних квартала почва, Живота остановка корма, Снижение производства молока",1
97,хомячок,"Серьезный, Диарея, Кровь на лицах, Аппетит, Молоко уменьшается",1
98,хомячок,"Высокая температура, Депрессия, Нежелание двигаться, Слюноотделение, Носовая выделение",1
99,хомячок,"Нормальный аппетит, Диарея, Набухание может возникнуть под челюстью, Потеря веса, Падение производства молока",1
100,хомячок,"Отек на ноге, Нагревать, Твердость, Покраснение, Боль",1
101,хомячок,"Неспособность стоять, Диарея, Бутылка челюсть, Горшок живот, Сухой шерсть",1
102,хомячок,"Возбудимость, Нервозность, потеря аппетита, Гиперчувствительность, Слабость",1
103,хомячок,"Высокая температура, Депрессия, Атака, Укусить других животных, Боль",1
104,хомячок,"Высокая температура, Трудность в дыхании, Кашель, Болезненный, Глаз стал скучным",1
105,хомячок,"Высокая температура, Язва на жевательной резине, Красный глаз, Желтоватый разряд, Кровавая диарея",1
106,хомячок,"Высокая температура, Диарея, Кашель, Консистенция молока, Боль",1
107,хомячок,"Животное становится неловким, Трудность в дыхании, Трудно в дыхании, Чрезмерное производство, Штамповка и ход задних глаз",1
108,хомячок,"Высокая температура, Озноб, Тяжелый колик, Слабость, Анорексия",1
109,хомячок,"Высокая температура, Жесткость тела, Летаргия, Тяжелое воспаление, Боль",1
110,хомячок,"Болезнь, Диарея, Потеря веса, Тошнота, Обезвоживание",1
111,хомячок,"Внезапная смерть, Проблема ходить, Паралич, Депрессия, Судорога",1
112,хомячок,"Высокая температура, Аборт, Почечная недостаточность, Воспаление глаз, Глаза покраснение",1
113,хомячок,"Маленькие красные удары, Пневмония , Септический артрит, Кожная инфекция, Боль",1
114,хомячок,"Высокая температура, Атаксия, Агрессивность, Депрессия, Неясная хромота",1
115,хомячок,"Повреждение в форме кольца, Круглые пятна, Сухая кожа, Размер поражений варьируется, Боль",1
116,хомячок,"Высокая температура, Диарея, потеря аппетита, Колики, Слабость",1
117,хомячок,"Высокая температура, Депрессия, потеря аппетита, Спотыкается, Атаксия",1
118,хомячок,"Пузыри во рту, Хрипил, потеря аппетита, Летаргия, Носовая выделение",1
119,хомячок,"Изменения кожи наружного слоя, Отек глаз, потеря аппетита, Летаргия, Респираторная инфекция",1
120,хомячок,"Красный оттенок, Погрузиться в раковину, Плохой запах, Легко повредить оболочку, Отслаивание закусов",1
121,хомячок,"Прохождение непереваренной еды, Диарея, Рвота, Газ или вздутие живота, Обезвоживание",1
122,хомячок,"Запах, Диарея, потеря аппетита, Избыточный сон, Сложенные уши",1
123,хомячок,"Потеря активности, Грубое пальто, потеря аппетита, Потеря веса, В конце концов смерть",1
124,хомячок,"Высокая температура, Диарея, Рвота, Обезвоживание, Боль",1
125,хомячок,"Лысые пятна, Выпадение волос, Хрустящий, Флот, Красное поражение от лысиных пятен",1
126,хомячок,"Плохое состояние, Увеличенные лимфатические узлы, Диарея, Потеря веса, Боль",1
127,хомячок,"Высокая температура, Озноб, Кашель, Прогрессивная слабость, Боль в суставах",1
128,хомячок,"Тяжелая инфекция, Диарея, Дефицит витамина и минералов, Потеря веса, Боль",1
129,кот,"Высокая температура, Диарея, Мышечная слабость, Мышечная боль, Абдонормальный дискомфорт",1
130,кот,"Высокая температура, Озноб, Головная боль, Тошнота, Боль",1
131,кот,"Толстая кожа, Истончение волос, Выпадение волос, Scabbing, Зуд",1
132,кот,"Отек лица, Потеря слуха, Рвота, Головная боль, Боль в горле и ушах",1
133,кот,"Генеральная недомогание, Печеночная неудача, Рвота, Потеря веса, Абдонормальная боль",1
134,кот,"Расстроен желудок, Потеря аппетита, Топ, Потеря веса, Абдонормальная боль",1
135,кот,"Высокая температура, Потеря мышц, Боль скелет, Потеря веса, Впустую",1
136,кот,"Отек, Отек лица или ноги, Отек шеи, Потеря веса, Боль",1
137,кот,"Плохой рост, Короткий рост, Увеличение костей, Хромота, Весовой",1
138,кот,"Высокая температура, Озноб, Пот, Головная боль, Фатик",1
139,кот,"Высокая температура, Потеря аппетита, Слабость, Потеря веса, Рвота",1
140,кот,"Тупость, Лэктримация, Кашель, Диарея, Припадки",1
141,кот,"Рвота, Кровавая диарея, Летаргия, Обезвоживание, Анорексия",1
142,кот,"Высокая температура, Нехарактерное укрытие, Депрессия, Обезвоживание, Остановился поесть",1
143,кот,"Высокая температура, Плохое состояние пальто, Инфекция кожи, Потеря веса, Фатик",1
144,кот,"Слабость, Жесткость, Дрожь, Белая отметка на мышцах, Потеря витамина Е",1
145,собака,"Частичный паралич, Ошеломляющий как пьяный, Самоарапевность, Актерский агрессивный, Действие неестественно ручной",1
146,собака,"Высокая температура, Усталость, Головная боль, Кожная сыпь, Боль",1
147,собака,"Толстая корка, Зуд, Выпадение волос, Водянистый глаз, Боль",1
148,собака,"Постоянный темп, Подергивание мышц лица, аномалии, Слепота, Мышечная боль",1
149,собака,"Потеря аппетита, Хрипил, Припадки, Кожная сыпь, Фатик",1
150,собака,"Расстройство желудка, Боль в животе, Запор, Диарея, Тошнота",1
151,собака,"Кровь в моче, Диарея, Рвота, Летаргия, Кровотечение в глазах и коже",1
152,хомячок,"Высокая температура, Недомогание, Слабость, Потеря веса, Боль",1
153,хомячок,"Высокая температура, Диарея, Рвота, Желудочные судороги, Тошнота",1
154,хомячок,"Высокая температура, Отсутствие координации, Депрессия, Слюноотделение, Паралич лица",1
155,хомячок,"Язвы на губе, Инфекция, Язвы на гонях и сосках, Поражение, Боль",1
156,хомячок,"Аборт при поздней беременности, Мертворождение, Оставленная плацента, Эндометрит, Уменьшить аппетит",1
157,хомячок,"парез, паралич, Слабость, Желудочные судороги, Диарея",1
158,хомячок,"Высокая температура, Диарея, Припухлость, Потеря веса, Боль",1
159,хомячок,"Высокая температура, Гемолитическая анемия, Гемоглобинурия, легочный застой, Желтуха",1
160,хомячок,"Аборт, Мумификация, Мертворождение, Слабые дети, Боль",1
161,хомячок,"Насморк, Трудность в дыхании, Кашель, Слабость, Потеря аппетита",1
162,хомячок,"Высокая температура, Носовая выделение, Респираторный дистресс, Поражение оспы, Боль",1
163,хомячок,"Высокая температура, Темный цвет кровавый, Нарушение, Трудность в дыхании, Терминальная судорога",1
164,хомячок,"Высокая температура, Дизентерия, Припухлость, Немедленная смерть, Боль",1
165,хомячок,"Высокая температура, Респираторный дистресс, Слизистый разряд, Уменьшить корм, Увеличение веса",1
166,хомячок,"Снижение молока, Удерживая конечности, Потеря веса, Хромота, Производство шерсти",1
167,хомячок,"Обухание выменения, Изменение в молоке, Вздутый, Нежный, чтобы прикоснуться, Боль",1
168,хомячок,"Высокая температура, Респираторный дистресс, Глазное выделение, Поражение рта, Носовая выделение",1
169,хомячок,"Высокая температура, Поражение раны, Избыток слюны, Трудно в ходьбе, Боль",1
170,хомячок,"Истощение, Отек в нижней челюсти, Кашель, Дрожь, Анемия",1
171,хомячок,"Высокая температура, Уменьшить рост, Детская смертность, Слабость, Тупость",1
172,хомячок,"Высокая температура, Уменьшить рост, Отек в нижней челюсти, Потеря веса, Анемия",1
173,хомячок,"Истощение, Диарея, Детская смертность, Слабость, Анемия",1
174,хомячок,"Аллергия на кожи, Уменьшить рост, Ранить, Головная боль, Головокружение",1
175,хомячок,"Полив глаз, Покраснение белого глаза, Отек века, Роговица становится облачной, Слезное производство",1
176,хомячок,"Бербери, Впустую, Нервный, Потеря веса, Анорексия",1
177,хомячок,"Гастрит, заболеваемость, Кровавый, Смертность, Анемия",1
178,хомячок,"Высокая температура, Сильная головная боль, Рвота, Кашель, Фатик",1
179,хомячок,"Высокая температура, Усталость, Опухшая почка, Гематурия, Мышечные боли",1
180,хомячок,"Высокая температура, Диарея, Снижение аппетита, Рвота, Кровавый",1
181,хомячок,"Газ, Диарея, Брюшная дискомфорт, Рвота, Тошнота",1
182,хомячок,"Опубликовывающие уши, Отсутствие координации, Слюни, Впустую, Вялость",1
183,птица,"Отек, диарея, Носовая выделение, Снижение производства яиц, Чихание",1
184,птица,"Опубликовывающие крылья, Депрессия, Носовая выделение, Кашель, Зеленоватая диарея",0
185,птица,"Слабость, Желтый или зеленый падение, Пурпурные расчески, Wattles, Падать на производство яиц",0
186,птица,"Паралич шеи, Диарея, рюшат перья, Затрудненное дыхание, Слабость",0
187,птица,"Отек лица, Лэктримация, Диарея, Анорексия, Носовая выделение",0
188,птица,"потеря аппетита, Депрессия, Парализованная нога, Потеря веса, Анемия",0
189,птица,"Уныние, Потеря аппетита, Медленный рост, Диарея, Поражение",0
190,птица,"Тяжелый отек, Тяжелое дыхание, Диарея, Потеря веса, Боль",0
191,птица,"Слабость, Диарея, Высокая смертность, Обезвоживание, Анорексия",0
192,хомячок,"Высокая температура, Гепатит, Кожная сыпь, Потеря веса, Боль",0
193,хомячок,"Чихание, Эпистаксис, Кашель, Трудность в дыхании, Носовая выделение",0
194,хомячок,"Чихание, Односторонний носовый выписка, Заталкивать, Ретч, Потеря веса",1
195,хомячок,"Высокая температура, Депрессия, Кашель, Потеря веса, Анорексия",1
196,хомячок,"Мелкое дыхание, Галитоз, Кашель, Летаргия, Носовая выделение",1
197,хомячок,"Одышка, Чихание, Кашель, Трудность в дыхании, Инфекция",1
198,хомячок,"Одышка, Чихание, Кашель, Трудность в дыхании, Боль",1
199,хомячок,"Высокая температура, Ринорея, Кашель, Чихание, Обезвоживание",1
200,хомячок,"Высокая температура, Ринорея, Кашель, Отек лица, Одышка",1
201,хомячок,"Высокая температура, Ринорея, Кашель, Чихание, Носовая выделение",1
202,хомячок,"Смертность, Болезненный, Кашель, Потеря веса, Носовая выделение",1
203,хомячок,"Кожная сыпь, Диарея, Смерть, Отек лица, Боль",1
204,хомячок,"Высокая температура, Одышка, Кашель, Летаргия, Потеря веса",1
205,хомячок,"Высокая температура, Одышка, Кашель, слабость, Анорексия",1
206,хомячок,"Отек лица, Одышка, Конъюнктивит, Слабость, Фарингит",1
207,хомячок,"Высокая температура, Пневмония , Скопление, Летаргия, Носовая выделение",1
208,хомячок,"Высокая температура, Смерть, Кашель, Потеря веса, Носовая выделение",1
209,хомячок,"Чихание, Судорога, Припадки, Потеря веса, Носовая выделение",1
210,хомячок,"Высокая температура, Смерть, Кашель, Одышка, Анорексия",1
211,хомячок,"Одышка, Трудность в дыхании, Кашель, Летаргия, Носовая выделение",1
212,хомячок,"Воздушный саккулит, Галитоз, Кашель, Энтерит, Потеря веса",1
213,хомячок,"Высокая температура, Судорога, Внезапная смерть, Удержание мочи, Потеря веса",1
214,хомячок,"Одышка, Неврологический знак, Кашель, Депрессия, Анорексия",1
215,хомячок,"Высокая температура, Одышка, Кашель, Летаргия, Анорексия",1
216,хомячок,"Затрудненное дыхание, Одышка, Кашель, Депрессия, Анорексия",1
217,хомячок,"Кровь из уст, Диарея, Кашель, Летаргия, Потеря веса",1
218,хомячок,"Кровоофхема, Диарея, Бессимптомный, Смерть, Эпистаксис",1
219,хомячок,"Беспокойство, Слабость, Синяя соломка, Смерть, Боль",1
220,птица,"Разряженные, Меньше роста перьев, Рюшат перья, Дефицит витамина, Диарея",1
221,птица,"Апатия, Депрессия, Дилатация двенадцатиперстной кишки, Клоакальное вставка, Скопление",1
222,птица,"Гепатомегалия, Спленомегалия, Рвота, Вздутый, Стремление головы",1
223,птица,"Проблема с балансом, Брюшная растяжение, Паралич шеи, Потеря веса, Боли",1
224,птица,"Нога, Парез, Кашель, Потеря веса, Одышка",1
225,птица,"Высокая температура, Кислое горло, Смертность, Мышечные боли, Аномалии",1
226,птица,"Сложность в кормлении, Притягивать, Слабость, Избыточный рост клюва, Анемия",1
227,птица,"Высокая температура, Потеря аппетита, Ушная инфекция, Депрессия, Носовая выделение",1
228,птица,"Краткий глаз, Кривошея, Слабость, Припухлость, Истощение",1
229,птица,"Неподходящее, Диарея, Толчок головы, Обезвоживание, Потеря веса",1
230,птица,"Отсутствие ходьбы, Отсутствие полета, Шероховатый, Обезвоживание, Боли",1
231,птица,"Кожная сыпь, Маленькие и желтые удары, Припухлость, Сухие струпки, Хромота",1
232,птица,"Скабсы на ногах, Покраснение, Трахея, Утолщение кожи, Боли",1
233,птица,"Увеличенный тимус, Затрудненные легкие, Летаргия, Кожная сыпь, Потеря веса",1
234,птица,"Пухлое перо, Потеря аппетита, Кашель, Рвота, Храп",1
235,птица,"Высокая температура, Трудность в дыхании, Желтый глаз, Чихание, Дифтериктический",1
236,птица,"Тяжелое дыхание, Желтый в клюве, Tail_bobbing, Слабость, Спать чрезмерно",1
237,птица,"Пухлый перо, Меньше еды, Головная боль, Полузакрытый глаз, Припадки",1
238,птица,"Высокая температура, Диарея, Опухший живот, Рвота, Трудность в дыхании",1
239,птица,"Хвост виляет, Напряжение, Летаргия, Слабость, Диарея",1
240,птица,"Избыточный вес, Потеря аппетита, Рюшат перья, Депрессия, Диарея",1
241,птица,"Уныние, Потеря аппетита, Стресс, Кашель, Боли",1
242,птица,"Кожная инфекция, Вторичная инфекция, Кашель, Депрессия, Стремление головы",1
243,птица,"Выброс из глаз, Летаргия, Кашель, Чихание, Фатик",1
244,птица,"Высокая температура, Озноб, Отсталый рост, Боль в груди, Боль в груди",1
245,птица,"Бледный расчет, Хромой, Смерть, Отек сустава, Глаз закрыт",1
246,птица,"Летаргия, Потеря аппетита, Сложность в глотании, Слабость, Проблема зрения",1
247,птица,"Истощение, Трудность в дыхании, Рвота, Слабость, Диарея",1
248,птица,"Жидкость падает, Истощение, Атаксия, Летаргия, Припадки",1
249,птица,"Непереваренные в их кале, Потеря аппетита, Потеря пигмента, Слабость, Кровавый в перьев",1
250,птица,"Острые перо, Забитое перо, Сброс глаз, Потеря порошка вниз, Диарея",1
251,птица,"Рюшат, Потеря аппетита, Рвота, Зеленый падение, Носовая выделение",1
252,птица,"Пазухи, Опухшие веки, Кожная сыпь, Чихание, Средства",1
253,птица,"Потеря перья, Пехой склад, Кашель, Зуд, Носовая выделение",1
254,птица,"Водянистые глаза, Глаз закрыт, Потеря веса, Чихание, Нервная проблема",1
255,птица,"Костное поражение, Кожная сыпь, Атаксия, Анорексия, Слабость",1
256,птица,"Тремор головы и шеи, Слепота, Пинать в живот, Упражнения в терпимости, Боли",1
257,хомячок,"Опухший живот, Тупость, Увольнять, Мочеиспускание, Лежа",1
258,хомячок,"Высокая температура, Тупость, Депрессия, Потеря веса, Анорексия",1
259,хомячок,"Высокая температура, Поддаться, Распространение инфекции, Потеря веса, Анорексия",1
260,хомячок,"Знаки в Рамсе, Знаки в овце, Недоразвитые мышцы, Экзамен спермы, Уменьшить маркировку лампы",1
261,хомячок,"Шипы, Необычно тонкий, Слабость, Увеличенные черепа, Слабость",1
262,хомячок,"Увольнять, Внезапный аборт, Гемоглобинурия, Смерть ягненка, Потеря веса",1
263,хомячок,"Высокая температура, Гемолитическая анемия, Пот, скопление, Желтуха",1
264,хомячок,"Высокая температура, Усталость, потеря аппетита, Мышечные боли, Боль в груди",1
265,хомячок,"Избыточное слюноотделение, Диарея, Депрессия, Носовая выделение, Слабость",1
266,хомячок,"Высокая температура, Диарея, Нарушение, Аборт, Отравление крови",1
267,хомячок,"Высокая температура, Впустую, Обезвоживание, Девственность, Слабость",1
268,хомячок,"Высокая температура, Диарея, Мышечная подергивание, Хромота, Потеря веса",1
269,хомячок,"Зубы шлифование, Апатия, Обезвоживание, Румана, Водянистые фекалии",0
270,хомячок,"Высокая температура, Депрессия, Лежа, Слабый пульс, Колики",1
271,хомячок,"Припухлость, Хромота, Гиперээзтерия, Шарнир, Потеря веса",1
272,хомячок,"Наклон головы, Кругим, Мышцы болится, Слепота, Припадки",1
273,хомячок,"Снижение роста кости, Депрессия, Ворчание, Хромота, Потеря веса",1
274,хомячок,"Опухший влево живот, Лежа, Ошеломляющий, Мочеиспускание, Расширение шеи",1
275,хомячок,"Прекращение эрекции, Трудность в дыхании, Депрессия, Анорексия, Колики",1
276,хомячок,"Высокая температура, Избыток слюна, Ненормальная конформация, Изъязвленная мышца, Язвенный ухо",1
277,хомячок,"Бесплодные овцы, Аборт, Плохая конформация, Волосатые ручки, Потеря веса",1
278,хомячок,"Тремор, Жизнеспособность, Кашель, Анорексия, Потеря веса",1
279,хомячок,"Высокая температура, Тахипноя, Отек головы и шеи, Анорексия, Носовая выделение",1
280,хомячок,"Lllthrift, Повреждение кожи, Хромота, Отек на теле, Потеря веса",1
281,хомячок,"Припухлость, Нагревать, Фланг, Боль, Носовая выделение",1
282,хомячок,"Высокая температура, Потеря аппетита, Хромота, Навес, Потеря веса",1
283,хомячок,"Высокая температура, Припухлость, потеря аппетита, Анорексия, Потеря веса",1
284,хомячок,"Высокая температура, Диарея, Кровавый падение, Брюшная дискомфорт, Летаргия",1
285,хомячок,"Высокая температура, Депрессия, Тонкая кишка, Смерть, Смертность стада",1
286,хомячок,"кровотечение, Соломенная, Боль в животе, Смерть, Камни разлагается",1
287,хомячок,"Кровавая диарея, Депрессия, Тупость, Смерть, Слабость",1
288,хомячок,"Неохотный ход, Потеря аппетита, Хромота, Смерть, Слабость",1
289,хомячок,"Высокая температура, Депрессия, потеря аппетита, Потеря аппетита, Боли",1
290,хомячок,"Высокая температура, Трудность в дыхании, Летаргия, Смерть, Боли",1
291,хомячок,"Бедная шерсть, Потеря аппетита, Хромота, Небольшой размер, Плохое состояние тела",1
292,хомячок,"Плохая иммунная функция, Ахомотрика, Обезвоживание, Смерть, Боли",1
293,хомячок,"Боль в животе, Диарея, Злоупотребление, Шок, Анорексия",1
294,хомячок,"Фетопельвич диспропорция, Матка инерция, Депрессия, Смерть, Боли",1
295,хомячок,"Водянистая диарея, Больной, Язва роговицы, Потеря аппетита, Смерть",1
