,AnimalClass,syptom_description,Dangerous
296,хомячок,"Тяжелый кератит, Конъюнктивное, Увольнять, Выпадение радужной оболочки, Потеря глаз",1
297,хомячок,"Вздутый, Яичка боли, Зуд, Кровавые выписки, Нежность",1
298,хомячок,"Высокая температура, Диарея, Депрессия, Царапины, Потеря веса",1
299,хомячок,"Грязное пахнет, Тупость, Грязный, Окрашенная шерсть, Хвост встряхивая",1
300,хомячок,"Овцы часто кусаются, Флис становится худым, Потеря шерсти, Смерть, Боли",1
301,хомячок,"Высокая температура, Тупость, Тупость, Кожная сыпь, Боли",1
302,хомячок,"Высокая температура, Трудность в дыхании, Втирать, Кашель, Чихание",1
303,хомячок,"Беспокойство, Пинать, Летаргия, Nible в их шерсти, Царапание",1
304,хомячок,"Желтуха, Потеря аппетита, Грубая шерсть, Кашель, Смерть",1
305,хомячок,"Высокая температура, Уменьшить репродуктивный потенциал, Агалактия, Потеря производства молока, Хвост",1
306,хомячок,"Пирексия, Оральное поражение, Припухлость, Хромота, Смерть",1
307,хомячок,"Красная кожа, Потеря аппетита, Влажный, Хромота, Боли",1
308,хомячок,"Хромающий, Изменение цвета кожи, Дряблый, Сырой, Чувствителен к прикосновению",1
309,хомячок,"Сильно увеличено, Кожа может сгуститься, Судорога, Edematous, Боли",1
310,хомячок,"Гиперксуальность, Мышечные спазмы, Десны, Смерть, Боли",1
311,хомячок,"Снижение века, Очень холодная кожа, Летаргия, Губа, Высокая температура",1
312,хомячок,"Высокая температура, Диарея, Мускус, Потеря веса, Смерть",1
313,хомячок,"Грязное пахнет, Диарея, Колики, Кровавые выписки, Кровавые сгустки",1
314,хомячок,"Неспособность переваривать, Диарея, Обезвоживание, Потеря веса, Анемия",1
315,хомячок,"Высокая температура, Диарея, Горшок живот, Смерть, Потеря аппетита",1
316,хомячок,"Истощение, Диарея, Кашель, Потеря веса, Смерть",1
317,хомячок,"Респираторный дистресс, Диарея, Смерть, Уменьшить молоко, Потеря веса",1
318,хомячок,"Lllthrift, Бутылка челюсть, Странное поведение, Анемия, Желтуха",1
319,хомячок,"Высокая температура, Хромота, Впустую, Слепота, Ошеломляющий",1
320,хомячок,"Высокая температура, Диарея, Явно неограничен, Потеря веса, Хороший аппетит",1
321,хомячок,"Высокая температура, Тупость, Нежелание ходить, Зараженные навицы, Боли",1
322,хомячок,"Нежность, Нога горячо, Паралич лица, Потеря веса, Боли",1
323,хомячок,"Высокая температура, Отсутствие координации, Больно прикоснуться, Кругим, Депрессия",1
324,хомячок,"Вздутый, Теплый, Запор, Депрессия, Кровавый",1
325,хомячок,"Высокая температура, Потеря аппетита, Спотыкается, Беспокойство, Боли",1
326,хомячок,"Нестационарная походка, Дергается, Слепота, Отек на суставах, Боли",1
327,хомячок,"Высокая температура, Язва, Spabs, Разряд из глаз, Боли",1
328,хомячок,"Запах аммиака, Язва, Депрессия, Припухлость, Боли",1
329,хомячок,"Высокая температура, Летаргия, Слепота, Неподходящее, Увеличился в дыхании",1
330,хомячок,"Блуждание, Кругим, Слепота, Нажатие на голову, Лежат",1
331,хомячок,"Тремор, Лежать на стороне, Сложность в глотании, Смерть, Не есть",1
332,хомячок,"Высокая температура, Трудность в дыхании, Кашель, Чихание, Припадки",1
333,хомячок,"Припухлость, Потеря аппетита, Потеря шерсти, Слезы, Смерть",1
334,хомячок,"Шерсть сгущается, Чувствует себя жестким, Ошеломляющий, Кожная сыпь, Боли",1
335,хомячок,"Покачиваясь, Изменение поведения, Тремор, Деревенские движения конечностей, Боли",1
336,хомячок,"Повреждение ячейки, Изменение поведения, Потеря веса, Прорит, Смерть",1
337,хомячок,"Припухлость, Дискомфорт, Сложность в районе, Смерть, Боли",1
338,хомячок,"Вздутый, Горячие суставы, Пустульсы, Сложность в прогулке, Боли",1
339,хомячок,"Формирование везикул, Ноздри, Ненормально длинная нога, Скабсы на губе, Боли",1
340,хомячок,"Аномалии скелет, Лицевые дефекты, Выпадение волос, Плоские ребра, Недоразвитые мышцы",1
341,хомячок,"Погода беспокойна, Ног, Нормальный аппетит, Попытка мочиться, Боли",1
342,хомячок,"Неспособность стоять, Боли ходить, Депрессия, Слабость, Жесткость",1
343,хомячок,"Высокая температура, Поддаться, Вялый, Анорексия, Боли",1
344,хомячок,"Вялый, Бутылка челюсть, Злоупотребление, Смерть, Недостаток кислорода",1
345,хомячок,"Высокая температура, Припухлость, Кровавый, Смерть, Анемия",1
346,хомячок,"Толстая кожа, Хрустящий, Чешуйчатая кожа, Поражение, Боли",1
347,хомячок,"Высокая температура, Аборт, Рвота, Потеря веса, Анорексия",1
348,хомячок,"Головокружение, Анемия, Рвота, Головная боль, Тошнота",1
349,хомячок,"Высокая температура, Потеря шерсти, Припухлость, Потеря веса, Боли",1
350,хомячок,"Слезное производство, Отвращение к свету, Голубоватая белая непрозрачность, Слепота, Боли",1
351,хомячок,"Высокая температура, Припухлость, Хромота, Нагревать, Боли",1
352,хомячок,"Изменение цвета кожи, Хрустящий, Чешуйчатая кожа, Раздражение, Волдырь",1
353,хомячок,"Быстрое начало, Жесткий, Мышцы дрожат, Слабость, Смерть",1
354,хомячок,"Встряхивая голова, Выписка от уха, Царапает ухо, Запах на ухо, Покраснение на ухе",1
355,хомячок,"Выброс из глаз, Покраснение глаз, Слепота, Царапины, Боли",1
356,хомячок,"Высокая температура, Потеря аппетита, Царапины, Смерть, Боли",1
357,хомячок,"Дискомфорт, Потеря аппетита, Кровавая диарея, Обильный, Боли",1
358,хомячок,"Припухлость, Гортань, Отек на челюсти, Охриплость, Набухание вены шеи",1
359,хомячок,"Воспаление, Дискомфорт, Пинать в живот, Инфекция мочи, Боли",1
360,хомячок,"Изоляция от стада, Кража, Гнездование поведения, Лапа у постельных принадлежностей, Боли",1
361,хомячок,"Вялый, Трудности в ходьбе, Шлифование зубов, Слепота, Атаксия",1
362,хомячок,"Голубоватая белая непрозрачность, Отвращение к свету, Слезоточивая продукция, Слепота, слабость",1
363,хомячок,"Голова бросает, Потеря шерсти, Быстрое дыхание, Кровоточащие раны, Проблема кожи",1
364,хомячок,"Кашель , задыхаясь, отек лица,, Производство слизи, Усталость",1
365,птица,"кашель, чихание, Овапки крылья, Скрученная шея, Овапки крылья",1
366,птица,"Одышка., Усталость, щебетать, потеря аппетита, опухший живот",1
367,хомячок,"Задыхаясь, кашель , легкая слабость, Овапки крылья, Скрученная шея",1
368,хомячок,"Чрезмерная кровопотеря, головокружение и обморок, Нечеткое зрение, водянистые глаза, медленный рост",1
369,птица,"Нос кровоточа , Травма, легкая слабость, Нос, Сухой воздух",1
370,птица,"Кровотечение из других частей тела, путаница, Носовая выделение, потеря бдительности, головокружение и обморок",1
371,хомячок,"Плохо дыхание, Лап на лице или нос, кашель , Чихание, Кровотечение из носа",1
372,птица,"вытягивая шею, Задыхаясь для воздуха, задыхаясь за дыхание, Сложность глотания, задыхаясь за дыхание",1
373,птица,"Сложность глотания, кашель , Сложность глотания, Задыхаясь для воздуха, вытягивая шею",1
374,хомячок,"кашель , Задыхаясь для воздуха, Потеря веса, задыхаясь за дыхание, вытягивая шею",1
375,хомячок,"слабость, Снижение производства стула, Расставленный желудок, тяжелое дыхание, беспокойное движение",1
376,птица,"Глаза покраснение, Частые глазные инфекции, Хрустящие ресницы и маты ресниц, грязные пахнущие табуреты,  Увеличение проходящего газа",1
377,птица,"Чрезмерное водопад, Глаза покраснение, слабость, Слизистые сбросы с глаз, Частые глазные инфекции",1
378,хомячок,"Внезапная смерть, потеря аппетита,  быстрое сердцебиение, пухлые перья, Отсутствие вокализации",1
379,птица,"Невозможно мочиться, Легкомысленность , погружение, ректальное кровотечение, опухший живот",1
380,птица,"Крайняя жажда, кровавые выписки, Потеря аппетита, неспособность летать, потеря настороженности",1
381,хомячок,"Производство яиц останавливается, Поведение задумчиво, потеря аппетита, Потеря веса, Запор",1
382,птица,"тошнота, рвота, потеря аппетита, переживание изменений в весе,  боль и вздутие живота",1
383,птица,"сжигание боли или боль, рвота, потеря аппетита, переживание изменений в весе,  боль и вздутие живота",1
384,хомячок,"Непрерывная потеря веса, Регургитация еды, хрипил, Чрезмерное потребление пищи, Непереваренные семена",1
385,хомячок,"потеря аппетита, летаргия, аборт, булькающий звук, Депрессия",1
386,хомячок,"высокая температура, мягкий колик, потеря хвостового тона, потеря аппетита, депрессия",1
387,хомячок,"наклон головы, летаргия, летаргия, моча дриблинг, неспособность подняться",1
388,хомячок,"высокая температура, потеря аппетита, дыхательный шум, Потеря веса, депрессия",1
389,хомячок,"высокая температура, носовая выделение, мышечная жесткость, опухшие лимфатические узлы, депрессия",1
390,хомячок,"потоотделение, мышечные спазмы, жажда, Потеря веса, трудности с движением и едой",1
391,птица,"потеря аппетита, высокая температура тела, Отсутствие аппетита, диарея, внезапная смерть",1
392,хомячок,"потоотделение, сухие или липкие десны, Уменьшенный аппетит, лежа, скучный Несс",1
393,хомячок,"Вытянутая шея, скучный Несс, непристойность, шумное дыхание, кашель",1
394,хомячок,"потеря веса, скучный Несс, непристойность, самоизоляция, лежат",1
395,хомячок,"потеря веса, скучный Несс, Проблема мышц, самоизоляция, лежат",1
396,хомячок,"Измененная походка, скучный Несс, Проблема мышц, Боль, Боли",1
397,хомячок,"Измененная походка, скучный Несс, рассеянный, Диагноз сложности, Анемия",1
398,хомячок,"Трудность в дыхании, Проблема набухания, кровотечение от ран, Частые зевы, анорексия",1
399,хомячок,"недоедание, Питье загрязненная вода, вялость, Ошеломляющий, анорексия",1
400,хомячок,"впустую, спотыкается, вялость, слюни, Опубликовывающие уши",1
401,хомячок,"впустую, спотыкается, вялость, слюни, Проблема мочеиспускания",1
402,хомячок,"впустую, спотыкается, вялость, слюни, Проблема мочеиспускания",1
403,хомячок,"впустую, спотыкается, вялость, слюни, Проблема мочеиспускания",1
404,хомячок,"впустую, спотыкается, вялость, слюни, Проблема мочеиспускания",1
405,хомячок,"впустую, спотыкается, вялость, слюни, Проблема мочеиспускания",1
406,хомячок,"впустую, спотыкается, вялость, слюни, Проблема мочеиспускания",1
407,хомячок,"впустую, спотыкается, вялость, слюни, Опубликовывающие уши",1
408,хомячок,"впустую, спотыкается, вялость, слюни, Опубликовывающие уши",1
409,хомячок,"впустую, спотыкается, Высокая температура, слюни, Опубликовывающие уши",1
410,кот,"кошачьи инфекции, Лимфосаркома, трудности дыхание, стоматит, анемия",1
411,хомячок,"внезапная смерть, высокая температура, трудности дыхание, Потеря веса, дрожь",1
412,хомячок,"внезапная смерть, высокая температура, трудности дыхание, Анемия, дрожь",1
413,хомячок,"внезапная смерть, высокая температура, трудности дыхание, Ошеломляющий, дрожь",1
414,хомячок,"внезапная смерть, высокая температура, быстрый пульс и частота сердечных сокращений, Депрессия, дрожь",1
415,хомячок,"высокая температура, потеря аппетита, быстрый пульс и частота сердечных сокращений, хромота в пораженной ноге, депрессия",1
416,хомячок,"высокая температура, потеря аппетита, быстрый пульс и частота сердечных сокращений, хромота в пораженной ноге, депрессия",1
417,хомячок,"высокая температура, потеря аппетита, быстрый пульс и частота сердечных сокращений, хромота в пораженной ноге, депрессия",1
418,хомячок,"высокая температура, потеря аппетита, опухшие соски, хромота в пораженной ноге, депрессия",1
419,хомячок,"припухлость, носовая выделение, слюни, усталость, высокая температура",1
420,хомячок,"сбросы глаз, носовая выделение, изменить их нормальное поведение, высокая температура тела, хромота",1
421,собака,"Перестань есть, Перестань пить, изменить их нормальное поведение, Хромота, Боли",1
422,собака,"Перестань есть, Перестань пить, изменить их нормальное поведение, Потеря веса, Боли",1
423,собака,"Перестань есть, Перестань пить, изменить их нормальное поведение, Депрессия, Боли",1
424,собака,"Перестань есть, Перестань пить, изменить их нормальное поведение, диарея, Боли",1
425,птица,"Высокая температура, Сложность глотания, Чрезмерный слюни, Ошеломляющий, Припадки",1
426,птица,"Высокая температура, Диарея, Рвота, Потеря веса, Обезвоживание",1
427,птица,"Высокая температура, Диарея, Кашель, Усталость, Боли",1
428,птица,"Высокая температура, Диарея, Кашель, Рвота, Анорексия",1
429,птица,"Высокая температура, Трудности дыхание, Кашель, Летаргия, Чихание",1
430,птица,"Высокая температура, Диарея, Кашель, Летаргия, Синий глаз",1
431,птица,"Высокая температура, Респираторный дистресс, Припадки, Гиперестезия, Внезапная смерть",1
432,птица,"Язвы, Диарея, Плохой аппетит, Тарри -стул, Увеличенные лимфатические узлы",1
433,птица,"Отек лица, Кровавый слюни, Неловкий дыхание, Невозможно поесть, Утраченные зубы",1
434,птица,"Высокая температура, Трудности дыхание, Жажда и мочеиспускание, Потеря веса, Увеличенные лимфатические узлы или отек",1
435,птица,"Отек на ноге, Болезненный, Носовая выделение, Сломанные кости, Носовая выделение",1
436,птица,"Краткосрочная летаргия, Потеря аппетита, Слабость в задних ногах, Быстрая частота сердечных сокращений, Недельный пульс",1
437,птица,"Опухшие лимфатические узлы, Трудность ходьбы, Боль в спине, Летаргия, Вагинальный разряд",1
438,птица,"Высокая температура, Диарея, Боль в животе, Жесткость, Сильная слабость и депрессия",1
439,птица,"Высокая температура, Потеря аппетита, Уменьшить энергию, Хромота, Обухание суставов",1
440,птица,"Высокая температура, Хроническое воспаление глаз, Плохой аппетит, Летаргия, Неврологические отклонения",1
441,птица,"Высокая температура, Отек лица или ноги, Плохой аппетит, Депрессия, Боли",1
442,птица,"Диарея с слизью, Тенсмус, Водянистый стул, Метеоризм, Боли",1
443,птица,"Сильный кашель, Насморк, Чихание, Летаргия, Потеря аппетита",1
444,птица,"Высокая температура, Воспаленный глаз, Кашель, Депрессия, Хромающий",1
445,птица,"Высокая температура, Трудности дыхание, Кашель, Изменение глаз и кожи, Невозможно заниматься спортом",1
446,птица,"Высокая температура, Потеря аппетита, Кашель, Летаргия, Боль в суставах",1
447,птица,"Поражения в носовой полости, Поражения на носу, Нос кровотечение, Шумное дыхание, Поражения на носу",1
448,птица,"Выпадение волос, Перхоть, Затемненная кожа, Кора кожи, Изъязвленная кожа",1
449,птица,"Зеленовато-желтый носовой разряд, Отсутствие пигментации, Чихание, Летаргия, Боль на лице",1
450,птица,"Высокая температура, Диарея, Плохой аппетит, Потеря веса, Рвота",1
451,птица,"Желтуха, Пневмония , Поражение на коже, боль, Рвота",1
452,птица,"Плохое появление пальто, Диарея, Рвота, Потеря веса, Обезвоживание",1
453,птица,"Полив, Нет приложения, Рвота, Летаргия, Обезвоживание",1
454,птица,"Напряжение, Диарея, Рвота, Потеря веса, Слепота",1
455,птица,"Расстроен желудок, Диарея, Рвота, Мышечная боль, Мышечная жесткость",1
456,птица,"Расстроен желудок, Диарея, Кашель, Потеря веса, Анемия",1
457,птица,"Аллергическая реакция, Плохой аппетит, Кашель, Потеря веса, Расставленный грудь",1
458,птица,"Высокая температура, Анорексия, Потеря веса, Летаргия, Боль",1
459,птица,"Хромающий, Не бегите, чтобы прыгнуть, Припухлость, Недельные ноги, Боль на ноге",1
460,птица,"Высокая температура, Язва глаз, Скопление, Депрессия, Розовый глаз",1
461,птица,"Пневмония, Потеря аппетита, Сброс глаз, Хромота, Артрит",1
462,птица,"Высокая температура, Припадки, Гидрофобия, Челюсть сброшена, Застенчивость или агрессия",1
463,птица,"Кровавая моча, Трудности дыхание, Рвота, Потеря веса, Анорексия",1
464,птица,"Потеря еды, Трудность в дыхании, Припухлость, Хромота, Неврологические отклонения",1
465,птица,"Темное или черное лицо, Диарея, Рвота, Кровь на лицах, Боль",1
466,птица,"Желтуха, Трудность в дыхании, Припадки, Летаргия, Бледные десны",1
467,птица,"Аппетит варьируется, Диарея, Рвота, Потеря веса, Боль",1
468,птица,"Потеря еды, Нездорово, Летаргия, Потеря веса, Проблема кожи",1
469,птица,"Болезнь, Потеря аппетита, Рвота, Потеря веса, Повышенный рост или удар",1
470,птица,"Носовое кровотечение, Трудность жевания, Припухлость, Потеря веса, Анорексия",1
471,птица,"Язвы, Поражения, Spabs, Комочки, Шишки (черный, серый или красный)",1
472,птица,"Газ, Потеря аппетита, Кровь в табуретке, Рычание желудка, Черный табурет",1
473,птица,"Дрожащая голова, Царапает ухо, Черный на ухо, Плохой запах, Красное и воспалительное ухо",1
474,птица,"Атаки, Потеря аппетита, Кашель, Потеря веса, Периодическая рвота",1
475,хомячок,"Кровавый табурет, Диарея, Кашель, Потеря веса, Анемия",1
476,хомячок,"Носовая выделение, Носовые кровотечения, воспаленные ноздри, Чихание, Громкое дыхание",1
477,хомячок,"Полиурия, Потеря аппетита, Рвота, Потеря веса, Полидипсия",1
478,хомячок,"Чрезмерное мочеиспускание, Изменение в походке, Рвота, Потеря веса, Неспособность прыгать",1
479,хомячок,"Судорога, Потеря сознания, жевание, Дергается, Слюноотделение",1
480,хомячок,"Хрипил, Быстрое дыхание, Кашель, Глотание, Усилие дышать",1
481,хомячок,"Желтуха, НЕКОТОРЫ, Летаргия, Потеря веса, Анорексия",1
482,хомячок,"Повреждение на коже кошки, Перхоть в кошачьем пальто, Красные пятна, Выпадение волос, Проблема кожи",1
483,хомячок,"Летаргия, Диарея, Рвота, Разряд из глаз, Анорексия",1
484,хомячок,"Раздражение кожи, Царапание, Летаргия, Выпадение волос, Чрезмерный уход",1
485,хомячок,"Мышцы Floopy, Задержка речи, Интеллектуальная инвалидность, Проблема ходьбы, Движения глаз",1
486,хомячок,"Чувствительность к яркому свету, Выписка от пораженного глаза, Воспаление, Облаженная роговица, Потирая глаза",1
487,хомячок,"Высокая температура, Диарея, Рвота, Судороги, Обезвоживание",1
488,хомячок,"Нежность, Эритема, Припухлость, Царапать, Боль",1
489,хомячок,"Высокая температура, Диарея, Рвота, Слюноотделение, Уменьшить аппетит",1
490,хомячок,"Чешуйчатые пятна кожи, Больной, Spabs, Царапать, Выпадение волос",1
491,хомячок,"Жирный стул, Диарея, Рвота, Потеря веса, Боль",1
492,хомячок,"Тошнота, Потеря аппетита, Рвота, Твердый, Расставленный желудок",1
493,хомячок,"Высокая температура, Отек в зоне укуса, Летаргия, Хромать, Боль",1
494,хомячок,"Высокая температура, Потеря аппетита, Проблема с глазами, Болезнь печени, Неврологический",1
495,хомячок,"Высокая температура, Мягкое чихание, Кашель, Носовой, Глазное выделение",1
496,хомячок,"Чаще всего нет, Чихание, Носовая выделение, Одышка, Боль",1
497,хомячок,"Высокая температура, Диарея, Рвота, Кровь из уст, Шок",1
498,хомячок,"Дискомфорт, Диарея, Сухое или тусклые волосы, Измельчение зубов, Боль",1
499,хомячок,"Потеря аппетита, Припухлость, Носовая выделение, Слепота, Летаргия",1
500,хомячок,"Ринит, Пневмония , абсцесса, Кривошея, Сепсис",1
501,хомячок,"Высокая температура, Диарея, Энтерит, Потеря веса, Желудочные судороги",1
502,хомячок,"Немедленная смерть, Трудность в дыхании, Голубая окрашенная губа, Кровавые выписки, Неврологические отклонения",1
503,хомячок,"Высокая температура, Поражение оспы на коже, Кожная сыпь, Носовая выделение, Смертность варьируется",1
504,хомячок,"Красный на пострадавшем районе, Возбужденный рост, Бородный рост, Красная кожа, Поражения на ухе",1
505,хомячок,"Высокая температура, Озноб, Язва кожи, Истощение, Опухший и болезненный",1
506,хомячок,"Поливная диарея, Депрессия, Истощение, Рюшат, Летаргия",1
507,хомячок,"потеря веса, истощение, потеря аппетита, Слабость, диарея",1
508,хомячок,"потеря аппетита, диарея, опухший фиолетовый плетение, Опухший расческа, Хромота",1
509,хомячок,"потеря аппетита, диарея, рюшат перья, Потеря веса, Неспособность поглощать питательные вещества",1
510,хомячок,"Производство яиц уменьшается, Задержка роста, Слепота, Отличительные удары, Отек лица",1
511,хомячок,"потеря аппетита, жажда, рюшат перья, Закрытые глаза, Диарея",1
512,хомячок,"Высокая температура, ослабленные ноги, LOS способности ходить, Молочные железы, Заполненные жидкостью волдыри",1
513,хомячок,"Высокая температура, ослабленные ноги, LOS способности ходить, Потеря веса, Хромота",1
514,хомячок,"аборт в конце беременности, Усталость, слабые телята, Присоединяйтесь к болам, Отек внутренних органов",1
515,хомячок,"вздутый, красный цвет, Горячий вымен, Молоко выходит более водянистого, Молоко выходит более толстое",1
516,хомячок,"Высокая температура, Бедствие, Дрожь, Ошеломляющий, Судорога",1
517,хомячок,"Высокая температура, Животное становится хромым, Простата, Болезненное глотание, Хромота",1
518,хомячок,"Высокая температура, Трудность в дыхании, Дриблинг слюны, Неспособность кормления глобального, Влажный и болезненный",1
519,хомячок,"Жидкие фекалии на крови и мышцах, Внезапная смерть, Кровавая жидкость, Красная диарея, Феканист",1
520,хомячок,"Высокая температура, Пневмония , Стоять с падением головы, Потеря веса, Ненормальное поведение",1
521,хомячок,"Высокая температура, Слегка опухший, Поражение на коже, Млечный жесткий, Папулы появляются на сосках и вымене",1
522,хомячок,"Высокая температура, Тупой, Задних квартала почва, Живота остановка корма, Снижение производства молока",1
523,хомячок,"Серьезный, Диарея, Кровь на лицах, Аппетит, Молоко уменьшается",1
524,хомячок,"Высокая температура, Депрессия, Нежелание двигаться, Слюноотделение, Носовая выделение",1
525,хомячок,"Нормальный аппетит, Диарея, Набухание может возникнуть под челюстью, Потеря веса, Падение производства молока",1
526,хомячок,"Отек на ноге, Нагревать, Твердость, Покраснение, Боль",1
527,хомячок,"Неспособность стоять, Диарея, Бутылка челюсть, Горшок живот, Сухой шерсть",1
528,хомячок,"Возбудимость, Нервозность, потеря аппетита, Гиперчувствительность, Слабость",1
529,хомячок,"Высокая температура, Депрессия, Атака, Укусить других животных, Боль",1
530,хомячок,"Высокая температура, Трудность в дыхании, Кашель, Болезненный, Глаз стал скучным",1
531,хомячок,"Высокая температура, Язва на жевательной резине, Красный глаз, Желтоватый разряд, Кровавая диарея",1
532,хомячок,"Высокая температура, Диарея, Кашель, Консистенция молока, Боль",1
533,хомячок,"Животное становится неловким, Трудность в дыхании, Трудно в дыхании, Чрезмерное производство, Штамповка и ход задних глаз",1
534,хомячок,"Высокая температура, Озноб, Тяжелый колик, Слабость, Анорексия",1
535,хомячок,"Высокая температура, Жесткость тела, Летаргия, Тяжелое воспаление, Боль",1
536,хомячок,"Болезнь, Диарея, Потеря веса, Тошнота, Обезвоживание",1
537,хомячок,"Внезапная смерть, Проблема ходить, Паралич, Депрессия, Судорога",1
538,хомячок,"Высокая температура, Аборт, Почечная недостаточность, Воспаление глаз, Глаза покраснение",1
539,хомячок,"Маленькие красные удары, Пневмония , Септический артрит, Кожная инфекция, Боль",1
540,хомячок,"Высокая температура, Атаксия, Агрессивность, Депрессия, Неясная хромота",1
541,птица,"Повреждение в форме кольца, Круглые пятна, Сухая кожа, Размер поражений варьируется, Боль",1
542,птица,"Высокая температура, Диарея, потеря аппетита, Колики, Слабость",1
543,птица,"Высокая температура, Депрессия, потеря аппетита, Спотыкается, Атаксия",1
544,птица,"Пузыри во рту, Хрипил, потеря аппетита, Летаргия, Носовая выделение",1
545,птица,"Изменения кожи наружного слоя, Отек глаз, потеря аппетита, Летаргия, Респираторная инфекция",1
546,птица,"Красный оттенок, Погрузиться в раковину, Плохой запах, Легко повредить оболочку, Отслаивание закусов",1
547,птица,"Прохождение непереваренной еды, Диарея, Рвота, Газ или вздутие живота, Обезвоживание",1
548,птица,"Запах, Диарея, потеря аппетита, Избыточный сон, Сложенные уши",1
549,птица,"Потеря активности, Грубое пальто, потеря аппетита, Потеря веса, В конце концов смерть",1
550,птица,"Высокая температура, Диарея, Рвота, Обезвоживание, Боль",1
551,птица,"Лысые пятна, Выпадение волос, Хрустящий, Флот, Красное поражение от лысиных пятен",1
552,птица,"Плохое состояние, Увеличенные лимфатические узлы, Диарея, Потеря веса, Боль",1
553,птица,"Высокая температура, Озноб, Кашель, Прогрессивная слабость, Боль в суставах",1
554,птица,"Тяжелая инфекция, Диарея, Дефицит витамина и минералов, Потеря веса, Боль",1
555,птица,"Высокая температура, Диарея, Мышечная слабость, Мышечная боль, Абдонормальный дискомфорт",1
556,птица,"Высокая температура, Озноб, Головная боль, Тошнота, Боль",1
557,птица,"Толстая кожа, Истончение волос, Выпадение волос, Scabbing, Зуд",1
558,птица,"Отек лица, Потеря слуха, Рвота, Головная боль, Боль в горле и ушах",1
559,птица,"Генеральная недомогание, Печеночная неудача, Рвота, Потеря веса, Абдонормальная боль",1
560,птица,"Расстроен желудок, Потеря аппетита, Топ, Потеря веса, Абдонормальная боль",1
561,птица,"Высокая температура, Потеря мышц, Боль скелет, Потеря веса, Впустую",1
562,птица,"Отек, Отек лица или ноги, Отек шеи, Потеря веса, Боль",1
563,птица,"Плохой рост, Короткий рост, Увеличение костей, Хромота, Весовой",1
564,птица,"Высокая температура, Озноб, Пот, Головная боль, Фатик",1
565,птица,"Высокая температура, Потеря аппетита, Слабость, Потеря веса, Рвота",1
566,птица,"Тупость, Лэктримация, Кашель, Диарея, Припадки",1
567,птица,"Рвота, Кровавая диарея, Летаргия, Обезвоживание, Анорексия",1
568,птица,"Высокая температура, Нехарактерное укрытие, Депрессия, Обезвоживание, Остановился поесть",1
569,птица,"Высокая температура, Плохое состояние пальто, Инфекция кожи, Потеря веса, Фатик",1
570,птица,"Слабость, Жесткость, Дрожь, Белая отметка на мышцах, Потеря витамина Е",1
571,птица,"Частичный паралич, Ошеломляющий как пьяный, Самоарапевность, Актерский агрессивный, Действие неестественно ручной",1
572,птица,"Высокая температура, Усталость, Головная боль, Кожная сыпь, Боль",1
573,птица,"Толстая корка, Зуд, Выпадение волос, Водянистый глаз, Боль",1
574,птица,"Постоянный темп, Подергивание мышц лица, аномалии, Слепота, Мышечная боль",1
575,птица,"Потеря аппетита, Хрипил, Припадки, Кожная сыпь, Фатик",1
576,птица,"Расстройство желудка, Боль в животе, Запор, Диарея, Тошнота",1
577,птица,"Кровь в моче, Диарея, Рвота, Летаргия, Кровотечение в глазах и коже",1
578,птица,"Высокая температура, Недомогание, Слабость, Потеря веса, Боль",1
